Detailed Resource Usage
Module Name,Fabric 4LUT,Fabric DFF,Interface 4LUT,Interface DFF,Single-Ended I/O,Differential I/O Pairs,I/O Register,uSRAM 1K,LSRAM 18K,PLLs and CCCs,Chip Globals,Row Global,SERDESIF Blocks,SERDESIF Lanes,EPCS,HPMS,10/100/1000 Ethernet,RCOSC_50MHZ
I2C_CORE_instance/GBTX_CTRL_0/Primitives,405,286,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
I2C_CORE_instance/GBTX_Decoder_0/Primitives,83,59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
I2C_CORE_instance/GBTX_SWITCH_0/Primitives,65,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
I2C_CORE_instance/I2CSFTTEMP_0/I2CErrorConv_0/Primitives,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
I2C_CORE_instance/I2CSFTTEMP_0/I2CSFPTEMPctrl_0/Primitives,802,395,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
I2C_CORE_instance/I2CSFTTEMP_0/I2C_masterFIFO_0/COREI2C_0/G0a.0.ui2c/Primitives,485,108,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
I2C_CORE_instance/I2CSFTTEMP_0/I2C_masterFIFO_0/COREI2C_0/Primitives,2,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
I2C_CORE_instance/I2CSFTTEMP_0/I2C_masterFIFO_0/FIFO_IN/L1.fifo_corefifo_sync_scntr/Primitives,42,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
I2C_CORE_instance/I2CSFTTEMP_0/I2C_masterFIFO_0/FIFO_IN/L5.u_corefifo_fwft/Primitives,16,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
I2C_CORE_instance/I2CSFTTEMP_0/I2C_masterFIFO_0/FIFO_IN/Primitives,18,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
I2C_CORE_instance/I2CSFTTEMP_0/I2C_masterFIFO_0/FIFO_IN/RW1.UI_ram_wrapper_1/U5_syncnonpipe/Primitives,0,0,36,36,0,0,0,1,0,0,0,0,0,0,0,0,0,0
I2C_CORE_instance/I2CSFTTEMP_0/I2C_masterFIFO_0/FIFO_OUT/L1.fifo_corefifo_sync_scntr/Primitives,41,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
I2C_CORE_instance/I2CSFTTEMP_0/I2C_masterFIFO_0/FIFO_OUT/L5.u_corefifo_fwft/Primitives,17,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
I2C_CORE_instance/I2CSFTTEMP_0/I2C_masterFIFO_0/FIFO_OUT/Primitives,10,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
I2C_CORE_instance/I2CSFTTEMP_0/I2C_masterFIFO_0/FIFO_OUT/RW1.UI_ram_wrapper_1/U5_syncnonpipe/Primitives,0,0,36,36,0,0,0,1,0,0,0,0,0,0,0,0,0,0
I2C_CORE_instance/I2CSFTTEMP_0/I2C_masterFIFO_0/I2CStateMachineCTRL/Primitives,159,105,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
I2C_CORE_instance/I2CSFTTEMP_0/Primitives,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
I2C_CORE_instance/I2CSFTTEMP_0/URAM_0/Primitives,0,0,36,36,0,0,0,1,0,0,0,0,0,0,0,0,0,0
I2C_CORE_instance/I2C_AUX/COREI2C_0/G0a.0.ui2c/Primitives,440,106,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
I2C_CORE_instance/I2C_AUX/COREI2C_0/Primitives,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
I2C_CORE_instance/I2C_AUX/I2CStateMachineSlaveAUX_inst_0/Primitives,125,82,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
I2C_CORE_instance/I2C_GBTX_inst_0/COREI2C_0/G0a.0.ui2c/Primitives,494,108,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
I2C_CORE_instance/I2C_GBTX_inst_0/COREI2C_0/Primitives,2,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
I2C_CORE_instance/I2C_GBTX_inst_0/FIFO_IN/L1.fifo_corefifo_sync_scntr/Primitives,42,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
I2C_CORE_instance/I2C_GBTX_inst_0/FIFO_IN/Primitives,10,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
I2C_CORE_instance/I2C_GBTX_inst_0/FIFO_IN/RW1.UI_ram_wrapper_1/L3_syncnonpipe/Primitives,0,0,36,36,0,0,0,0,1,0,0,0,0,0,0,0,0,0
I2C_CORE_instance/I2C_GBTX_inst_0/FIFO_OUT/L1.fifo_corefifo_sync_scntr/Primitives,43,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
I2C_CORE_instance/I2C_GBTX_inst_0/FIFO_OUT/Primitives,3,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
I2C_CORE_instance/I2C_GBTX_inst_0/FIFO_OUT/RW1.UI_ram_wrapper_1/L3_syncnonpipe/Primitives,0,0,36,36,0,0,0,0,1,0,0,0,0,0,0,0,0,0
I2C_CORE_instance/I2C_GBTX_inst_0/GBTXI2C_CTRL_0/Primitives,160,78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
I2C_CORE_instance/I2C_GBTX_inst_0/I2CErrorConv_0/Primitives,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
I2C_CORE_instance/I2C_GBTX_inst_0/I2CStateMachineGBTX_0/Primitives,217,113,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
I2C_CORE_instance/Timer100ms_0/DivVar16bit_0/Primitives,23,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
I2C_CORE_instance/Timer100ms_0/DivVar4bit_1/Primitives,21,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
I2C_CORE_instance/Timer100ms_0/DivVar4bit_2/Primitives,30,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
I2C_CORE_instance/Timer100ms_0/DivVar4bit_4/Primitives,31,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
I2C_CORE_instance/Timer100ms_0/DivVar8bit_0/Primitives,21,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Primitives/Primitives,79,54,0,0,239,84,193,0,0,0,0,0,0,0,0,0,0,0
fpgack40_buf/Primitives,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
ident_coreinst/IICE_INST/Primitives,0,108,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ident_coreinst/IICE_INST/b3_SoW/Primitives,137,253,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ident_coreinst/IICE_INST/b3_SoW/b3_SoW/Primitives,0,0,108,108,0,0,0,0,3,0,0,0,0,0,0,0,0,0
ident_coreinst/IICE_INST/b3_SoW/b6_SoWyQD/Primitives,4,108,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ident_coreinst/IICE_INST/b3_SoW/samplerStatus/Primitives,18,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ident_coreinst/IICE_INST/b3_SoW/virOut/Primitives,3,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ident_coreinst/IICE_INST/b4_PfFz/b5_PbrtL/Primitives,1,42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ident_coreinst/IICE_INST/b4_PfFz/b7_PbTtl9G/b6_2ZGFQ9/b19_O2yyf_fG2_MiQA1E6_r/Primitives,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ident_coreinst/IICE_INST/b4_PfFz/b7_PbTtl9G/b7_1LbcgKE0/Primitives,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ident_coreinst/IICE_INST/b4_PfFz/b7_PbTtl9G/b7_1LbcgKF/Primitives,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
